"number of E (V), "	I (A) couples: 20000
0.4509	4.50E-15
0.4508	4.52E-15
0.4507	4.54E-15
0.4506	4.55E-15
0.4505	4.57E-15
0.4504	4.59E-15
0.4503	4.61E-15
0.4502	4.63E-15
0.4501	4.64E-15
0.45	4.66E-15
0.4499	4.68E-15
0.4498	4.70E-15
0.4497	4.72E-15
0.4496	4.74E-15
0.4495	4.75E-15
0.4494	4.77E-15
0.4493	4.79E-15
0.4492	4.81E-15
0.4491	4.83E-15
0.449	4.85E-15
0.4489	4.87E-15
0.4488	4.89E-15
0.4487	4.90E-15
0.4486	4.92E-15
0.4485	4.94E-15
0.4484	4.96E-15
0.4483	4.98E-15
0.4482	5.00E-15
0.4481	5.02E-15
0.448	5.04E-15
0.4479	5.06E-15
0.4478	5.08E-15
0.4477	5.10E-15
0.4476	5.12E-15
0.4475	5.14E-15
0.4474	5.16E-15
0.4473	5.18E-15
0.4472	5.20E-15
0.4471	5.22E-15
0.447	5.24E-15
0.4469	5.26E-15
0.4468	5.28E-15
0.4467	5.30E-15
0.4466	5.32E-15
0.4465	5.34E-15
0.4464	5.36E-15
0.4463	5.38E-15
0.4462	5.41E-15
0.4461	5.43E-15
0.446	5.45E-15
0.4459	5.47E-15
0.4458	5.49E-15
0.4457	5.51E-15
0.4456	5.53E-15
0.4455	5.55E-15
0.4454	5.58E-15
0.4453	5.60E-15
0.4452	5.62E-15
0.4451	5.64E-15
0.445	5.66E-15
0.4449	5.69E-15
0.4448	5.71E-15
0.4447	5.73E-15
0.4446	5.75E-15
0.4445	5.77E-15
0.4444	5.80E-15
0.4443	5.82E-15
0.4442	5.84E-15
0.4441	5.87E-15
0.444	5.89E-15
0.4439	5.91E-15
0.4438	5.93E-15
0.4437	5.96E-15
0.4436	5.98E-15
0.4435	6.00E-15
0.4434	6.03E-15
0.4433	6.05E-15
0.4432	6.07E-15
0.4431	6.10E-15
0.443	6.12E-15
0.4429	6.15E-15
0.4428	6.17E-15
0.4427	6.19E-15
0.4426	6.22E-15
0.4425	6.24E-15
0.4424	6.27E-15
0.4423	6.29E-15
0.4422	6.32E-15
0.4421	6.34E-15
0.442	6.36E-15
0.4419	6.39E-15
0.4418	6.41E-15
0.4417	6.44E-15
0.4416	6.46E-15
0.4415	6.49E-15
0.4414	6.52E-15
0.4413	6.54E-15
0.4412	6.57E-15
0.4411	6.59E-15
0.441	6.62E-15
0.4409	6.64E-15
0.4408	6.67E-15
0.4407	6.70E-15
0.4406	6.72E-15
0.4405	6.75E-15
0.4404	6.77E-15
0.4403	6.80E-15
0.4402	6.83E-15
0.4401	6.85E-15
0.44	6.88E-15
0.4399	6.91E-15
0.4398	6.93E-15
0.4397	6.96E-15
0.4396	6.99E-15
0.4395	7.02E-15
0.4394	7.04E-15
0.4393	7.07E-15
0.4392	7.10E-15
0.4391	7.13E-15
0.439	7.15E-15
0.4389	7.18E-15
0.4388	7.21E-15
0.4387	7.24E-15
0.4386	7.27E-15
0.4385	7.29E-15
0.4384	7.32E-15
0.4383	7.35E-15
0.4382	7.38E-15
0.4381	7.41E-15
0.438	7.44E-15
0.4379	7.47E-15
0.4378	7.50E-15
0.4377	7.52E-15
0.4376	7.55E-15
0.4375	7.58E-15
0.4374	7.61E-15
0.4373	7.64E-15
0.4372	7.67E-15
0.4371	7.70E-15
0.437	7.73E-15
0.4369	7.76E-15
0.4368	7.79E-15
0.4367	7.82E-15
0.4366	7.85E-15
0.4365	7.88E-15
0.4364	7.91E-15
0.4363	7.95E-15
0.4362	7.98E-15
0.4361	8.01E-15
0.436	8.04E-15
0.4359	8.07E-15
0.4358	8.10E-15
0.4357	8.13E-15
0.4356	8.16E-15
0.4355	8.20E-15
0.4354	8.23E-15
0.4353	8.26E-15
0.4352	8.29E-15
0.4351	8.33E-15
0.435	8.36E-15
0.4349	8.39E-15
0.4348	8.42E-15
0.4347	8.46E-15
0.4346	8.49E-15
0.4345	8.52E-15
0.4344	8.56E-15
0.4343	8.59E-15
0.4342	8.62E-15
0.4341	8.66E-15
0.434	8.69E-15
0.4339	8.72E-15
0.4338	8.76E-15
0.4337	8.79E-15
0.4336	8.83E-15
0.4335	8.86E-15
0.4334	8.89E-15
0.4333	8.93E-15
0.4332	8.96E-15
0.4331	9.00E-15
0.433	9.03E-15
0.4329	9.07E-15
0.4328	9.10E-15
0.4327	9.14E-15
0.4326	9.18E-15
0.4325	9.21E-15
0.4324	9.25E-15
0.4323	9.28E-15
0.4322	9.32E-15
0.4321	9.36E-15
0.432	9.39E-15
0.4319	9.43E-15
0.4318	9.47E-15
0.4317	9.50E-15
0.4316	9.54E-15
0.4315	9.58E-15
0.4314	9.61E-15
0.4313	9.65E-15
0.4312	9.69E-15
0.4311	9.73E-15
0.431	9.77E-15
0.4309	9.80E-15
0.4308	9.84E-15
0.4307	9.88E-15
0.4306	9.92E-15
0.4305	9.96E-15
0.4304	1.00E-14
0.4303	1.00E-14
0.4302	1.01E-14
0.4301	1.01E-14
0.43	1.02E-14
0.4299	1.02E-14
0.4298	1.02E-14
0.4297	1.03E-14
0.4296	1.03E-14
0.4295	1.04E-14
0.4294	1.04E-14
0.4293	1.04E-14
0.4292	1.05E-14
0.4291	1.05E-14
0.429	1.06E-14
0.4289	1.06E-14
0.4288	1.06E-14
0.4287	1.07E-14
0.4286	1.07E-14
0.4285	1.08E-14
0.4284	1.08E-14
0.4283	1.08E-14
0.4282	1.09E-14
0.4281	1.09E-14
0.428	1.10E-14
0.4279	1.10E-14
0.4278	1.11E-14
0.4277	1.11E-14
0.4276	1.11E-14
0.4275	1.12E-14
0.4274	1.12E-14
0.4273	1.13E-14
0.4272	1.13E-14
0.4271	1.14E-14
0.427	1.14E-14
0.4269	1.15E-14
0.4268	1.15E-14
0.4267	1.15E-14
0.4266	1.16E-14
0.4265	1.16E-14
0.4264	1.17E-14
0.4263	1.17E-14
0.4262	1.18E-14
0.4261	1.18E-14
0.426	1.19E-14
0.4259	1.19E-14
0.4258	1.20E-14
0.4257	1.20E-14
0.4256	1.20E-14
0.4255	1.21E-14
0.4254	1.21E-14
0.4253	1.22E-14
0.4252	1.22E-14
0.4251	1.23E-14
0.425	1.23E-14
0.4249	1.24E-14
0.4248	1.24E-14
0.4247	1.25E-14
0.4246	1.25E-14
0.4245	1.26E-14
0.4244	1.26E-14
0.4243	1.27E-14
0.4242	1.27E-14
0.4241	1.28E-14
0.424	1.28E-14
0.4239	1.29E-14
0.4238	1.29E-14
0.4237	1.30E-14
0.4236	1.30E-14
0.4235	1.31E-14
0.4234	1.31E-14
0.4233	1.32E-14
0.4232	1.32E-14
0.4231	1.33E-14
0.423	1.33E-14
0.4229	1.34E-14
0.4228	1.34E-14
0.4227	1.35E-14
0.4226	1.35E-14
0.4225	1.36E-14
0.4224	1.36E-14
0.4223	1.37E-14
0.4222	1.38E-14
0.4221	1.38E-14
0.422	1.39E-14
0.4219	1.39E-14
0.4218	1.40E-14
0.4217	1.40E-14
0.4216	1.41E-14
0.4215	1.41E-14
0.4214	1.42E-14
0.4213	1.42E-14
0.4212	1.43E-14
0.4211	1.44E-14
0.421	1.44E-14
0.4209	1.45E-14
0.4208	1.45E-14
0.4207	1.46E-14
0.4206	1.46E-14
0.4205	1.47E-14
0.4204	1.48E-14
0.4203	1.48E-14
0.4202	1.49E-14
0.4201	1.49E-14
0.42	1.50E-14
0.4199	1.50E-14
0.4198	1.51E-14
0.4197	1.52E-14
0.4196	1.52E-14
0.4195	1.53E-14
0.4194	1.53E-14
0.4193	1.54E-14
0.4192	1.55E-14
0.4191	1.55E-14
0.419	1.56E-14
0.4189	1.56E-14
0.4188	1.57E-14
0.4187	1.58E-14
0.4186	1.58E-14
0.4185	1.59E-14
0.4184	1.59E-14
0.4183	1.60E-14
0.4182	1.61E-14
0.4181	1.61E-14
0.418	1.62E-14
0.4179	1.63E-14
0.4178	1.63E-14
0.4177	1.64E-14
0.4176	1.64E-14
0.4175	1.65E-14
0.4174	1.66E-14
0.4173	1.66E-14
0.4172	1.67E-14
0.4171	1.68E-14
0.417	1.68E-14
0.4169	1.69E-14
0.4168	1.70E-14
0.4167	1.70E-14
0.4166	1.71E-14
0.4165	1.72E-14
0.4164	1.72E-14
0.4163	1.73E-14
0.4162	1.74E-14
0.4161	1.74E-14
0.416	1.75E-14
0.4159	1.76E-14
0.4158	1.76E-14
0.4157	1.77E-14
0.4156	1.78E-14
0.4155	1.79E-14
0.4154	1.79E-14
0.4153	1.80E-14
0.4152	1.81E-14
0.4151	1.81E-14
0.415	1.82E-14
0.4149	1.83E-14
0.4148	1.83E-14
0.4147	1.84E-14
0.4146	1.85E-14
0.4145	1.86E-14
0.4144	1.86E-14
0.4143	1.87E-14
0.4142	1.88E-14
0.4141	1.89E-14
0.414	1.89E-14
0.4139	1.90E-14
0.4138	1.91E-14
0.4137	1.91E-14
0.4136	1.92E-14
0.4135	1.93E-14
0.4134	1.94E-14
0.4133	1.94E-14
0.4132	1.95E-14
0.4131	1.96E-14
0.413	1.97E-14
0.4129	1.98E-14
0.4128	1.98E-14
0.4127	1.99E-14
0.4126	2.00E-14
0.4125	2.01E-14
0.4124	2.01E-14
0.4123	2.02E-14
0.4122	2.03E-14
0.4121	2.04E-14
0.412	2.05E-14
0.4119	2.05E-14
0.4118	2.06E-14
0.4117	2.07E-14
0.4116	2.08E-14
0.4115	2.09E-14
0.4114	2.09E-14
0.4113	2.10E-14
0.4112	2.11E-14
0.4111	2.12E-14
0.411	2.13E-14
0.4109	2.13E-14
0.4108	2.14E-14
0.4107	2.15E-14
0.4106	2.16E-14
0.4105	2.17E-14
0.4104	2.18E-14
0.4103	2.19E-14
0.4102	2.19E-14
0.4101	2.20E-14
0.41	2.21E-14
0.4099	2.22E-14
0.4098	2.23E-14
0.4097	2.24E-14
0.4096	2.25E-14
0.4095	2.25E-14
0.4094	2.26E-14
0.4093	2.27E-14
0.4092	2.28E-14
0.4091	2.29E-14
0.409	2.30E-14
0.4089	2.31E-14
0.4088	2.32E-14
0.4087	2.33E-14
0.4086	2.33E-14
0.4085	2.34E-14
0.4084	2.35E-14
0.4083	2.36E-14
0.4082	2.37E-14
0.4081	2.38E-14
0.408	2.39E-14
0.4079	2.40E-14
0.4078	2.41E-14
0.4077	2.42E-14
0.4076	2.43E-14
0.4075	2.44E-14
0.4074	2.45E-14
0.4073	2.46E-14
0.4072	2.47E-14
0.4071	2.48E-14
0.407	2.48E-14
0.4069	2.49E-14
0.4068	2.50E-14
0.4067	2.51E-14
0.4066	2.52E-14
0.4065	2.53E-14
0.4064	2.54E-14
0.4063	2.55E-14
0.4062	2.56E-14
0.4061	2.57E-14
0.406	2.58E-14
0.4059	2.59E-14
0.4058	2.60E-14
0.4057	2.61E-14
0.4056	2.62E-14
0.4055	2.63E-14
0.4054	2.64E-14
0.4053	2.65E-14
0.4052	2.67E-14
0.4051	2.68E-14
0.405	2.69E-14
0.4049	2.70E-14
0.4048	2.71E-14
0.4047	2.72E-14
0.4046	2.73E-14
0.4045	2.74E-14
0.4044	2.75E-14
0.4043	2.76E-14
0.4042	2.77E-14
0.4041	2.78E-14
0.404	2.79E-14
0.4039	2.80E-14
0.4038	2.81E-14
0.4037	2.83E-14
0.4036	2.84E-14
0.4035	2.85E-14
0.4034	2.86E-14
0.4033	2.87E-14
0.4032	2.88E-14
0.4031	2.89E-14
0.403	2.90E-14
0.4029	2.91E-14
0.4028	2.93E-14
0.4027	2.94E-14
0.4026	2.95E-14
0.4025	2.96E-14
0.4024	2.97E-14
0.4023	2.98E-14
0.4022	3.00E-14
0.4021	3.01E-14
0.402	3.02E-14
0.4019	3.03E-14
0.4018	3.04E-14
0.4017	3.05E-14
0.4016	3.07E-14
0.4015	3.08E-14
0.4014	3.09E-14
0.4013	3.10E-14
0.4012	3.11E-14
0.4011	3.13E-14
0.401	3.14E-14
0.4009	3.15E-14
0.4008	3.16E-14
0.4007	3.18E-14
0.4006	3.19E-14
0.4005	3.20E-14
0.4004	3.21E-14
0.4003	3.23E-14
0.4002	3.24E-14
0.4001	3.25E-14
0.4	3.26E-14
0.3999	3.28E-14
0.3998	3.29E-14
0.3997	3.30E-14
0.3996	3.31E-14
0.3995	3.33E-14
0.3994	3.34E-14
0.3993	3.35E-14
0.3992	3.37E-14
0.3991	3.38E-14
0.399	3.39E-14
0.3989	3.41E-14
0.3988	3.42E-14
0.3987	3.43E-14
0.3986	3.45E-14
0.3985	3.46E-14
0.3984	3.47E-14
0.3983	3.49E-14
0.3982	3.50E-14
0.3981	3.51E-14
0.398	3.53E-14
0.3979	3.54E-14
0.3978	3.55E-14
0.3977	3.57E-14
0.3976	3.58E-14
0.3975	3.60E-14
0.3974	3.61E-14
0.3973	3.62E-14
0.3972	3.64E-14
0.3971	3.65E-14
0.397	3.67E-14
0.3969	3.68E-14
0.3968	3.70E-14
0.3967	3.71E-14
0.3966	3.72E-14
0.3965	3.74E-14
0.3964	3.75E-14
0.3963	3.77E-14
0.3962	3.78E-14
0.3961	3.80E-14
0.396	3.81E-14
0.3959	3.83E-14
0.3958	3.84E-14
0.3957	3.86E-14
0.3956	3.87E-14
0.3955	3.89E-14
0.3954	3.90E-14
0.3953	3.92E-14
0.3952	3.93E-14
0.3951	3.95E-14
0.395	3.96E-14
0.3949	3.98E-14
0.3948	3.99E-14
0.3947	4.01E-14
0.3946	4.03E-14
0.3945	4.04E-14
0.3944	4.06E-14
0.3943	4.07E-14
0.3942	4.09E-14
0.3941	4.11E-14
0.394	4.12E-14
0.3939	4.14E-14
0.3938	4.15E-14
0.3937	4.17E-14
0.3936	4.19E-14
0.3935	4.20E-14
0.3934	4.22E-14
0.3933	4.23E-14
0.3932	4.25E-14
0.3931	4.27E-14
0.393	4.28E-14
0.3929	4.30E-14
0.3928	4.32E-14
0.3927	4.33E-14
0.3926	4.35E-14
0.3925	4.37E-14
0.3924	4.39E-14
0.3923	4.40E-14
0.3922	4.42E-14
0.3921	4.44E-14
0.392	4.45E-14
0.3919	4.47E-14
0.3918	4.49E-14
0.3917	4.51E-14
0.3916	4.52E-14
0.3915	4.54E-14
0.3914	4.56E-14
0.3913	4.58E-14
0.3912	4.60E-14
0.3911	4.61E-14
0.391	4.63E-14
0.3909	4.65E-14
0.3908	4.67E-14
0.3907	4.69E-14
0.3906	4.70E-14
0.3905	4.72E-14
0.3904	4.74E-14
0.3903	4.76E-14
0.3902	4.78E-14
0.3901	4.80E-14
0.39	4.82E-14
0.3899	4.83E-14
0.3898	4.85E-14
0.3897	4.87E-14
0.3896	4.89E-14
0.3895	4.91E-14
0.3894	4.93E-14
0.3893	4.95E-14
0.3892	4.97E-14
0.3891	4.99E-14
0.389	5.01E-14
0.3889	5.03E-14
0.3888	5.05E-14
0.3887	5.07E-14
0.3886	5.08E-14
0.3885	5.10E-14
0.3884	5.12E-14
0.3883	5.14E-14
0.3882	5.16E-14
0.3881	5.18E-14
0.388	5.20E-14
0.3879	5.23E-14
0.3878	5.25E-14
0.3877	5.27E-14
0.3876	5.29E-14
0.3875	5.31E-14
0.3874	5.33E-14
0.3873	5.35E-14
0.3872	5.37E-14
0.3871	5.39E-14
0.387	5.41E-14
0.3869	5.43E-14
0.3868	5.45E-14
0.3867	5.48E-14
0.3866	5.50E-14
0.3865	5.52E-14
0.3864	5.54E-14
0.3863	5.56E-14
0.3862	5.58E-14
0.3861	5.60E-14
0.386	5.63E-14
0.3859	5.65E-14
0.3858	5.67E-14
0.3857	5.69E-14
0.3856	5.71E-14
0.3855	5.74E-14
0.3854	5.76E-14
0.3853	5.78E-14
0.3852	5.80E-14
0.3851	5.83E-14
0.385	5.85E-14
0.3849	5.87E-14
0.3848	5.90E-14
0.3847	5.92E-14
0.3846	5.94E-14
0.3845	5.96E-14
0.3844	5.99E-14
0.3843	6.01E-14
0.3842	6.03E-14
0.3841	6.06E-14
0.384	6.08E-14
0.3839	6.11E-14
0.3838	6.13E-14
0.3837	6.15E-14
0.3836	6.18E-14
0.3835	6.20E-14
0.3834	6.23E-14
0.3833	6.25E-14
0.3832	6.27E-14
0.3831	6.30E-14
0.383	6.32E-14
0.3829	6.35E-14
