"number of E (V), "	I (A) couples: 20000
-0.3715	9.64E-11
-0.3714	9.64E-11
-0.3713	9.64E-11
-0.3712	9.64E-11
-0.3711	9.64E-11
-0.371	9.64E-11
-0.3709	9.64E-11
-0.3708	9.64E-11
-0.3707	9.64E-11
-0.3706	9.64E-11
-0.3705	9.64E-11
-0.3704	9.64E-11
-0.3703	9.64E-11
-0.3702	9.64E-11
-0.3701	9.64E-11
-0.37	9.64E-11
-0.3699	9.64E-11
-0.3698	9.64E-11
-0.3697	9.64E-11
-0.3696	9.64E-11
-0.3695	9.64E-11
-0.3694	9.64E-11
-0.3693	9.64E-11
-0.3692	9.64E-11
-0.3691	9.64E-11
-0.369	9.64E-11
-0.3689	9.64E-11
-0.3688	9.64E-11
-0.3687	9.64E-11
-0.3686	9.64E-11
-0.3685	9.64E-11
-0.3684	9.64E-11
-0.3683	9.64E-11
-0.3682	9.64E-11
-0.3681	9.64E-11
-0.368	9.63E-11
-0.3679	9.64E-11
-0.3678	9.64E-11
-0.3677	9.64E-11
-0.3676	9.64E-11
-0.3675	9.64E-11
-0.3674	9.64E-11
-0.3673	9.64E-11
-0.3672	9.64E-11
-0.3671	9.64E-11
-0.367	9.64E-11
-0.3669	9.64E-11
-0.3668	9.64E-11
-0.3667	9.64E-11
-0.3666	9.64E-11
-0.3665	9.64E-11
-0.3664	9.64E-11
-0.3663	9.64E-11
-0.3662	9.63E-11
-0.3661	9.64E-11
-0.366	9.64E-11
-0.3659	9.63E-11
-0.3658	9.63E-11
-0.3657	9.64E-11
-0.3656	9.63E-11
-0.3655	9.64E-11
-0.3654	9.64E-11
-0.3653	9.64E-11
-0.3652	9.64E-11
-0.3651	9.64E-11
-0.365	9.64E-11
-0.3649	9.64E-11
-0.3648	9.63E-11
-0.3647	9.64E-11
-0.3646	9.64E-11
-0.3645	9.63E-11
-0.3644	9.64E-11
-0.3643	9.63E-11
-0.3642	9.63E-11
-0.3641	9.63E-11
-0.364	9.64E-11
-0.3639	9.64E-11
-0.3638	9.63E-11
-0.3637	9.63E-11
-0.3636	9.63E-11
-0.3635	9.64E-11
-0.3634	9.64E-11
-0.3633	9.64E-11
-0.3632	9.63E-11
-0.3631	9.63E-11
-0.363	9.63E-11
-0.3629	9.63E-11
-0.3628	9.63E-11
-0.3627	9.63E-11
-0.3626	9.63E-11
-0.3625	9.64E-11
-0.3624	9.64E-11
-0.3623	9.63E-11
-0.3622	9.64E-11
-0.3621	9.64E-11
-0.362	9.63E-11
-0.3619	9.63E-11
-0.3618	9.64E-11
-0.3617	9.63E-11
-0.3616	9.63E-11
-0.3615	9.63E-11
-0.3614	9.63E-11
-0.3613	9.64E-11
-0.3612	9.63E-11
-0.3611	9.63E-11
-0.361	9.63E-11
-0.3609	9.64E-11
-0.3608	9.63E-11
-0.3607	9.63E-11
-0.3606	9.63E-11
-0.3605	9.63E-11
-0.3604	9.63E-11
-0.3603	9.63E-11
-0.3602	9.64E-11
-0.3601	9.64E-11
-0.36	9.63E-11
-0.3599	9.63E-11
-0.3598	9.63E-11
-0.3597	9.63E-11
-0.3596	9.63E-11
-0.3595	9.63E-11
-0.3594	9.63E-11
-0.3593	9.63E-11
-0.3592	9.63E-11
-0.3591	9.63E-11
-0.359	9.63E-11
-0.3589	9.63E-11
-0.3588	9.63E-11
-0.3587	9.63E-11
-0.3586	9.63E-11
-0.3585	9.63E-11
-0.3584	9.63E-11
-0.3583	9.63E-11
-0.3582	9.63E-11
-0.3581	9.63E-11
-0.358	9.63E-11
-0.3579	9.63E-11
-0.3578	9.63E-11
-0.3577	9.63E-11
-0.3576	9.63E-11
-0.3575	9.63E-11
-0.3574	9.63E-11
-0.3573	9.63E-11
-0.3572	9.63E-11
-0.3571	9.63E-11
-0.357	9.63E-11
-0.3569	9.63E-11
-0.3568	9.63E-11
-0.3567	9.63E-11
-0.3566	9.63E-11
-0.3565	9.63E-11
-0.3564	9.63E-11
-0.3563	9.63E-11
-0.3562	9.63E-11
-0.3561	9.63E-11
-0.356	9.63E-11
-0.3559	9.63E-11
-0.3558	9.63E-11
-0.3557	9.63E-11
-0.3556	9.63E-11
-0.3555	9.63E-11
-0.3554	9.63E-11
-0.3553	9.63E-11
-0.3552	9.63E-11
-0.3551	9.63E-11
-0.355	9.63E-11
-0.3549	9.63E-11
-0.3548	9.63E-11
-0.3547	9.63E-11
-0.3546	9.63E-11
-0.3545	9.63E-11
-0.3544	9.63E-11
-0.3543	9.63E-11
-0.3542	9.63E-11
-0.3541	9.63E-11
-0.354	9.63E-11
-0.3539	9.63E-11
-0.3538	9.63E-11
-0.3537	9.63E-11
-0.3536	9.63E-11
-0.3535	9.63E-11
-0.3534	9.63E-11
-0.3533	9.63E-11
-0.3532	9.63E-11
-0.3531	9.63E-11
-0.353	9.63E-11
-0.3529	9.63E-11
-0.3528	9.63E-11
-0.3527	9.63E-11
-0.3526	9.63E-11
-0.3525	9.63E-11
-0.3524	9.63E-11
-0.3523	9.63E-11
-0.3522	9.63E-11
-0.3521	9.63E-11
-0.352	9.63E-11
-0.3519	9.63E-11
-0.3518	9.63E-11
-0.3517	9.63E-11
-0.3516	9.63E-11
-0.3515	9.63E-11
-0.3514	9.63E-11
-0.3513	9.63E-11
-0.3512	9.63E-11
-0.3511	9.63E-11
-0.351	9.63E-11
-0.3509	9.63E-11
-0.3508	9.63E-11
-0.3507	9.63E-11
-0.3506	9.62E-11
-0.3505	9.63E-11
-0.3504	9.63E-11
-0.3503	9.63E-11
-0.3502	9.63E-11
-0.3501	9.63E-11
-0.35	9.62E-11
-0.3499	9.63E-11
-0.3498	9.63E-11
-0.3497	9.63E-11
-0.3496	9.63E-11
-0.3495	9.63E-11
-0.3494	9.63E-11
-0.3493	9.63E-11
-0.3492	9.62E-11
-0.3491	9.62E-11
-0.349	9.62E-11
-0.3489	9.63E-11
-0.3488	9.62E-11
-0.3487	9.62E-11
-0.3486	9.62E-11
-0.3485	9.62E-11
-0.3484	9.62E-11
-0.3483	9.62E-11
-0.3482	9.62E-11
-0.3481	9.63E-11
-0.348	9.62E-11
-0.3479	9.62E-11
-0.3478	9.62E-11
-0.3477	9.62E-11
-0.3476	9.62E-11
-0.3475	9.62E-11
-0.3474	9.62E-11
-0.3473	9.62E-11
-0.3472	9.62E-11
-0.3471	9.62E-11
-0.347	9.62E-11
-0.3469	9.62E-11
-0.3468	9.62E-11
-0.3467	9.62E-11
-0.3466	9.62E-11
-0.3465	9.62E-11
-0.3464	9.62E-11
-0.3463	9.62E-11
-0.3462	9.62E-11
-0.3461	9.62E-11
-0.346	9.62E-11
-0.3459	9.62E-11
-0.3458	9.62E-11
-0.3457	9.62E-11
-0.3456	9.62E-11
-0.3455	9.62E-11
-0.3454	9.62E-11
-0.3453	9.62E-11
-0.3452	9.62E-11
-0.3451	9.62E-11
-0.345	9.62E-11
-0.3449	9.62E-11
-0.3448	9.62E-11
-0.3447	9.62E-11
-0.3446	9.62E-11
-0.3445	9.62E-11
-0.3444	9.62E-11
-0.3443	9.62E-11
-0.3442	9.62E-11
-0.3441	9.62E-11
-0.344	9.62E-11
-0.3439	9.62E-11
-0.3438	9.62E-11
-0.3437	9.62E-11
-0.3436	9.62E-11
-0.3435	9.62E-11
-0.3434	9.62E-11
-0.3433	9.62E-11
-0.3432	9.62E-11
-0.3431	9.62E-11
-0.343	9.62E-11
-0.3429	9.62E-11
-0.3428	9.62E-11
-0.3427	9.62E-11
-0.3426	9.62E-11
-0.3425	9.62E-11
-0.3424	9.62E-11
-0.3423	9.62E-11
-0.3422	9.62E-11
-0.3421	9.62E-11
-0.342	9.62E-11
-0.3419	9.62E-11
-0.3418	9.62E-11
-0.3417	9.62E-11
-0.3416	9.62E-11
-0.3415	9.62E-11
-0.3414	9.62E-11
-0.3413	9.62E-11
-0.3412	9.62E-11
-0.3411	9.62E-11
-0.341	9.62E-11
-0.3409	9.62E-11
-0.3408	9.62E-11
-0.3407	9.62E-11
-0.3406	9.61E-11
-0.3405	9.61E-11
-0.3404	9.61E-11
-0.3403	9.62E-11
-0.3402	9.62E-11
-0.3401	9.62E-11
-0.34	9.61E-11
-0.3399	9.62E-11
-0.3398	9.62E-11
-0.3397	9.61E-11
-0.3396	9.62E-11
-0.3395	9.62E-11
-0.3394	9.61E-11
-0.3393	9.61E-11
-0.3392	9.61E-11
-0.3391	9.61E-11
-0.339	9.61E-11
-0.3389	9.61E-11
-0.3388	9.61E-11
-0.3387	9.61E-11
-0.3386	9.61E-11
-0.3385	9.61E-11
-0.3384	9.61E-11
-0.3383	9.61E-11
-0.3382	9.61E-11
-0.3381	9.61E-11
-0.338	9.61E-11
-0.3379	9.61E-11
-0.3378	9.61E-11
-0.3377	9.61E-11
-0.3376	9.61E-11
-0.3375	9.61E-11
-0.3374	9.61E-11
-0.3373	9.61E-11
-0.3372	9.61E-11
-0.3371	9.61E-11
-0.337	9.61E-11
-0.3369	9.61E-11
-0.3368	9.61E-11
-0.3367	9.61E-11
-0.3366	9.61E-11
-0.3365	9.61E-11
-0.3364	9.61E-11
-0.3363	9.61E-11
-0.3362	9.61E-11
-0.3361	9.61E-11
-0.336	9.61E-11
-0.3359	9.61E-11
-0.3358	9.61E-11
-0.3357	9.61E-11
-0.3356	9.61E-11
-0.3355	9.61E-11
-0.3354	9.61E-11
-0.3353	9.61E-11
-0.3352	9.61E-11
-0.3351	9.61E-11
-0.335	9.61E-11
-0.3349	9.61E-11
-0.3348	9.61E-11
-0.3347	9.61E-11
-0.3346	9.61E-11
-0.3345	9.61E-11
-0.3344	9.61E-11
-0.3343	9.61E-11
-0.3342	9.61E-11
-0.3341	9.61E-11
-0.334	9.61E-11
-0.3339	9.61E-11
-0.3338	9.61E-11
-0.3337	9.60E-11
-0.3336	9.60E-11
-0.3335	9.60E-11
-0.3334	9.61E-11
-0.3333	9.60E-11
-0.3332	9.60E-11
-0.3331	9.60E-11
-0.333	9.61E-11
-0.3329	9.61E-11
-0.3328	9.60E-11
-0.3327	9.60E-11
-0.3326	9.60E-11
-0.3325	9.60E-11
-0.3324	9.60E-11
-0.3323	9.60E-11
-0.3322	9.60E-11
-0.3321	9.60E-11
-0.332	9.60E-11
-0.3319	9.60E-11
-0.3318	9.60E-11
-0.3317	9.60E-11
-0.3316	9.60E-11
-0.3315	9.60E-11
-0.3314	9.60E-11
-0.3313	9.60E-11
-0.3312	9.60E-11
-0.3311	9.60E-11
-0.331	9.60E-11
-0.3309	9.60E-11
-0.3308	9.60E-11
-0.3307	9.60E-11
-0.3306	9.60E-11
-0.3305	9.60E-11
-0.3304	9.60E-11
-0.3303	9.60E-11
-0.3302	9.60E-11
-0.3301	9.60E-11
-0.33	9.60E-11
-0.3299	9.60E-11
-0.3298	9.60E-11
-0.3297	9.60E-11
-0.3296	9.60E-11
-0.3295	9.60E-11
-0.3294	9.60E-11
-0.3293	9.60E-11
-0.3292	9.60E-11
-0.3291	9.60E-11
-0.329	9.60E-11
-0.3289	9.60E-11
-0.3288	9.60E-11
-0.3287	9.60E-11
-0.3286	9.59E-11
-0.3285	9.60E-11
-0.3284	9.60E-11
-0.3283	9.59E-11
-0.3282	9.60E-11
-0.3281	9.60E-11
-0.328	9.59E-11
-0.3279	9.59E-11
-0.3278	9.59E-11
-0.3277	9.59E-11
-0.3276	9.59E-11
-0.3275	9.59E-11
-0.3274	9.59E-11
-0.3273	9.59E-11
-0.3272	9.59E-11
-0.3271	9.59E-11
-0.327	9.59E-11
-0.3269	9.59E-11
-0.3268	9.59E-11
-0.3267	9.59E-11
-0.3266	9.59E-11
-0.3265	9.59E-11
-0.3264	9.59E-11
-0.3263	9.59E-11
-0.3262	9.59E-11
-0.3261	9.59E-11
-0.326	9.59E-11
-0.3259	9.59E-11
-0.3258	9.59E-11
-0.3257	9.59E-11
-0.3256	9.59E-11
-0.3255	9.59E-11
-0.3254	9.59E-11
-0.3253	9.59E-11
-0.3252	9.59E-11
-0.3251	9.59E-11
-0.325	9.59E-11
-0.3249	9.59E-11
-0.3248	9.59E-11
-0.3247	9.59E-11
-0.3246	9.59E-11
-0.3245	9.59E-11
-0.3244	9.59E-11
-0.3243	9.59E-11
-0.3242	9.59E-11
-0.3241	9.59E-11
-0.324	9.59E-11
-0.3239	9.59E-11
-0.3238	9.59E-11
-0.3237	9.59E-11
-0.3236	9.59E-11
-0.3235	9.58E-11
-0.3234	9.58E-11
-0.3233	9.58E-11
-0.3232	9.58E-11
-0.3231	9.58E-11
-0.323	9.58E-11
-0.3229	9.58E-11
-0.3228	9.58E-11
-0.3227	9.58E-11
-0.3226	9.58E-11
-0.3225	9.58E-11
-0.3224	9.58E-11
-0.3223	9.58E-11
-0.3222	9.58E-11
-0.3221	9.58E-11
-0.322	9.58E-11
-0.3219	9.58E-11
-0.3218	9.58E-11
-0.3217	9.58E-11
-0.3216	9.58E-11
-0.3215	9.58E-11
-0.3214	9.58E-11
-0.3213	9.58E-11
-0.3212	9.58E-11
-0.3211	9.58E-11
-0.321	9.58E-11
-0.3209	9.58E-11
-0.3208	9.58E-11
-0.3207	9.58E-11
-0.3206	9.58E-11
-0.3205	9.58E-11
-0.3204	9.58E-11
-0.3203	9.58E-11
-0.3202	9.58E-11
-0.3201	9.58E-11
-0.32	9.57E-11
-0.3199	9.58E-11
-0.3198	9.57E-11
-0.3197	9.58E-11
-0.3196	9.57E-11
-0.3195	9.57E-11
-0.3194	9.57E-11
-0.3193	9.57E-11
-0.3192	9.57E-11
-0.3191	9.57E-11
-0.319	9.57E-11
-0.3189	9.57E-11
-0.3188	9.57E-11
-0.3187	9.57E-11
-0.3186	9.57E-11
-0.3185	9.57E-11
-0.3184	9.57E-11
-0.3183	9.57E-11
-0.3182	9.57E-11
-0.3181	9.57E-11
-0.318	9.57E-11
-0.3179	9.57E-11
-0.3178	9.57E-11
-0.3177	9.57E-11
-0.3176	9.57E-11
-0.3175	9.57E-11
-0.3174	9.57E-11
-0.3173	9.57E-11
-0.3172	9.57E-11
-0.3171	9.57E-11
-0.317	9.57E-11
-0.3169	9.57E-11
-0.3168	9.57E-11
-0.3167	9.57E-11
-0.3166	9.56E-11
-0.3165	9.56E-11
-0.3164	9.56E-11
-0.3163	9.56E-11
-0.3162	9.56E-11
-0.3161	9.56E-11
-0.316	9.56E-11
-0.3159	9.56E-11
-0.3158	9.56E-11
-0.3157	9.56E-11
-0.3156	9.56E-11
-0.3155	9.56E-11
-0.3154	9.56E-11
-0.3153	9.56E-11
-0.3152	9.56E-11
-0.3151	9.56E-11
-0.315	9.56E-11
-0.3149	9.56E-11
-0.3148	9.56E-11
-0.3147	9.56E-11
-0.3146	9.56E-11
-0.3145	9.56E-11
-0.3144	9.56E-11
-0.3143	9.56E-11
-0.3142	9.56E-11
-0.3141	9.56E-11
-0.314	9.56E-11
-0.3139	9.56E-11
-0.3138	9.56E-11
-0.3137	9.55E-11
-0.3136	9.55E-11
-0.3135	9.55E-11
-0.3134	9.55E-11
-0.3133	9.55E-11
-0.3132	9.55E-11
-0.3131	9.55E-11
-0.313	9.55E-11
-0.3129	9.55E-11
-0.3128	9.55E-11
-0.3127	9.55E-11
-0.3126	9.55E-11
-0.3125	9.55E-11
-0.3124	9.55E-11
-0.3123	9.55E-11
-0.3122	9.55E-11
-0.3121	9.55E-11
-0.312	9.55E-11
-0.3119	9.55E-11
-0.3118	9.55E-11
-0.3117	9.55E-11
-0.3116	9.55E-11
-0.3115	9.55E-11
-0.3114	9.55E-11
-0.3113	9.55E-11
-0.3112	9.54E-11
-0.3111	9.54E-11
-0.311	9.54E-11
-0.3109	9.54E-11
-0.3108	9.54E-11
-0.3107	9.54E-11
-0.3106	9.54E-11
-0.3105	9.54E-11
-0.3104	9.54E-11
-0.3103	9.54E-11
-0.3102	9.54E-11
-0.3101	9.54E-11
-0.31	9.54E-11
-0.3099	9.54E-11
-0.3098	9.54E-11
-0.3097	9.54E-11
-0.3096	9.54E-11
-0.3095	9.54E-11
-0.3094	9.54E-11
-0.3093	9.54E-11
-0.3092	9.54E-11
-0.3091	9.54E-11
-0.309	9.54E-11
-0.3089	9.53E-11
-0.3088	9.54E-11
-0.3087	9.53E-11
-0.3086	9.53E-11
-0.3085	9.53E-11
-0.3084	9.53E-11
-0.3083	9.53E-11
-0.3082	9.53E-11
-0.3081	9.53E-11
-0.308	9.53E-11
-0.3079	9.53E-11
-0.3078	9.53E-11
-0.3077	9.53E-11
-0.3076	9.53E-11
-0.3075	9.53E-11
-0.3074	9.53E-11
-0.3073	9.53E-11
-0.3072	9.53E-11
-0.3071	9.53E-11
-0.307	9.53E-11
-0.3069	9.53E-11
-0.3068	9.53E-11
-0.3067	9.52E-11
-0.3066	9.53E-11
-0.3065	9.52E-11
-0.3064	9.52E-11
-0.3063	9.52E-11
-0.3062	9.52E-11
-0.3061	9.52E-11
-0.306	9.52E-11
-0.3059	9.52E-11
-0.3058	9.52E-11
-0.3057	9.52E-11
-0.3056	9.52E-11
-0.3055	9.52E-11
-0.3054	9.52E-11
-0.3053	9.52E-11
-0.3052	9.52E-11
-0.3051	9.52E-11
-0.305	9.52E-11
-0.3049	9.52E-11
-0.3048	9.52E-11
-0.3047	9.51E-11
-0.3046	9.51E-11
-0.3045	9.51E-11
-0.3044	9.51E-11
-0.3043	9.51E-11
-0.3042	9.51E-11
-0.3041	9.51E-11
-0.304	9.51E-11
-0.3039	9.51E-11
-0.3038	9.51E-11
-0.3037	9.51E-11
-0.3036	9.51E-11
-0.3035	9.51E-11
-0.3034	9.51E-11
-0.3033	9.51E-11
-0.3032	9.51E-11
-0.3031	9.51E-11
-0.303	9.51E-11
-0.3029	9.51E-11
-0.3028	9.50E-11
-0.3027	9.50E-11
-0.3026	9.50E-11
-0.3025	9.50E-11
-0.3024	9.50E-11
-0.3023	9.50E-11
-0.3022	9.50E-11
-0.3021	9.50E-11
-0.302	9.50E-11
-0.3019	9.50E-11
-0.3018	9.50E-11
-0.3017	9.50E-11
-0.3016	9.50E-11
-0.3015	9.50E-11
-0.3014	9.50E-11
-0.3013	9.50E-11
-0.3012	9.50E-11
-0.3011	9.49E-11
-0.301	9.49E-11
-0.3009	9.49E-11
-0.3008	9.49E-11
-0.3007	9.49E-11
-0.3006	9.49E-11
-0.3005	9.49E-11
-0.3004	9.49E-11
-0.3003	9.49E-11
-0.3002	9.49E-11
-0.3001	9.49E-11
-0.3	9.49E-11
-0.2999	9.49E-11
-0.2998	9.49E-11
-0.2997	9.49E-11
-0.2996	9.49E-11
-0.2995	9.49E-11
-0.2994	9.48E-11
-0.2993	9.48E-11
-0.2992	9.48E-11
-0.2991	9.48E-11
-0.299	9.48E-11
-0.2989	9.48E-11
-0.2988	9.48E-11
-0.2987	9.48E-11
-0.2986	9.48E-11
-0.2985	9.48E-11
-0.2984	9.48E-11
-0.2983	9.48E-11
-0.2982	9.48E-11
-0.2981	9.48E-11
-0.298	9.48E-11
-0.2979	9.48E-11
-0.2978	9.47E-11
-0.2977	9.47E-11
-0.2976	9.47E-11
-0.2975	9.47E-11
-0.2974	9.47E-11
-0.2973	9.47E-11
-0.2972	9.47E-11
-0.2971	9.47E-11
-0.297	9.47E-11
-0.2969	9.47E-11
-0.2968	9.47E-11
-0.2967	9.47E-11
-0.2966	9.47E-11
-0.2965	9.47E-11
-0.2964	9.46E-11
-0.2963	9.46E-11
-0.2962	9.46E-11
-0.2961	9.46E-11
-0.296	9.46E-11
-0.2959	9.46E-11
-0.2958	9.46E-11
-0.2957	9.46E-11
-0.2956	9.46E-11
-0.2955	9.46E-11
-0.2954	9.46E-11
-0.2953	9.46E-11
-0.2952	9.46E-11
-0.2951	9.46E-11
-0.295	9.45E-11
-0.2949	9.45E-11
-0.2948	9.45E-11
-0.2947	9.45E-11
-0.2946	9.45E-11
-0.2945	9.45E-11
-0.2944	9.45E-11
-0.2943	9.45E-11
-0.2942	9.45E-11
-0.2941	9.45E-11
-0.294	9.45E-11
-0.2939	9.45E-11
-0.2938	9.45E-11
-0.2937	9.44E-11
-0.2936	9.44E-11
-0.2935	9.44E-11
-0.2934	9.44E-11
-0.2933	9.44E-11
-0.2932	9.44E-11
-0.2931	9.44E-11
-0.293	9.44E-11
-0.2929	9.44E-11
-0.2928	9.44E-11
-0.2927	9.44E-11
-0.2926	9.44E-11
-0.2925	9.43E-11
-0.2924	9.43E-11
-0.2923	9.43E-11
-0.2922	9.43E-11
-0.2921	9.43E-11
-0.292	9.43E-11
-0.2919	9.43E-11
-0.2918	9.43E-11
-0.2917	9.43E-11
-0.2916	9.43E-11
-0.2915	9.43E-11
-0.2914	9.43E-11
-0.2913	9.42E-11
-0.2912	9.42E-11
-0.2911	9.42E-11
-0.291	9.42E-11
-0.2909	9.42E-11
-0.2908	9.42E-11
-0.2907	9.42E-11
-0.2906	9.42E-11
-0.2905	9.42E-11
-0.2904	9.42E-11
-0.2903	9.42E-11
-0.2902	9.41E-11
-0.2901	9.41E-11
-0.29	9.41E-11
-0.2899	9.41E-11
-0.2898	9.41E-11
-0.2897	9.41E-11
-0.2896	9.41E-11
-0.2895	9.41E-11
-0.2894	9.41E-11
-0.2893	9.41E-11
-0.2892	9.41E-11
-0.2891	9.40E-11
-0.289	9.40E-11
-0.2889	9.40E-11
-0.2888	9.40E-11
-0.2887	9.40E-11
-0.2886	9.40E-11
-0.2885	9.40E-11
-0.2884	9.40E-11
-0.2883	9.40E-11
-0.2882	9.40E-11
-0.2881	9.39E-11
-0.288	9.39E-11
-0.2879	9.39E-11
-0.2878	9.39E-11
-0.2877	9.39E-11
-0.2876	9.39E-11
-0.2875	9.39E-11
-0.2874	9.39E-11
-0.2873	9.39E-11
-0.2872	9.39E-11
-0.2871	9.38E-11
-0.287	9.38E-11
-0.2869	9.38E-11
-0.2868	9.38E-11
-0.2867	9.38E-11
-0.2866	9.38E-11
-0.2865	9.38E-11
-0.2864	9.38E-11
-0.2863	9.38E-11
-0.2862	9.38E-11
-0.2861	9.37E-11
-0.286	9.37E-11
-0.2859	9.37E-11
-0.2858	9.37E-11
-0.2857	9.37E-11
-0.2856	9.37E-11
-0.2855	9.37E-11
-0.2854	9.37E-11
-0.2853	9.37E-11
-0.2852	9.36E-11
-0.2851	9.36E-11
-0.285	9.36E-11
-0.2849	9.36E-11
-0.2848	9.36E-11
-0.2847	9.36E-11
-0.2846	9.36E-11
-0.2845	9.36E-11
-0.2844	9.36E-11
-0.2843	9.35E-11
-0.2842	9.35E-11
-0.2841	9.35E-11
-0.284	9.35E-11
-0.2839	9.35E-11
-0.2838	9.35E-11
-0.2837	9.35E-11
-0.2836	9.35E-11
-0.2835	9.34E-11
-0.2834	9.34E-11
-0.2833	9.34E-11
-0.2832	9.34E-11
-0.2831	9.34E-11
-0.283	9.34E-11
-0.2829	9.34E-11
-0.2828	9.34E-11
-0.2827	9.34E-11
-0.2826	9.33E-11
-0.2825	9.33E-11
-0.2824	9.33E-11
-0.2823	9.33E-11
-0.2822	9.33E-11
-0.2821	9.33E-11
-0.282	9.33E-11
-0.2819	9.33E-11
-0.2818	9.32E-11
-0.2817	9.32E-11
-0.2816	9.32E-11
-0.2815	9.32E-11
-0.2814	9.32E-11
-0.2813	9.32E-11
-0.2812	9.32E-11
-0.2811	9.32E-11
-0.281	9.31E-11
-0.2809	9.31E-11
-0.2808	9.31E-11
-0.2807	9.31E-11
-0.2806	9.31E-11
-0.2805	9.31E-11
-0.2804	9.31E-11
-0.2803	9.30E-11
-0.2802	9.30E-11
-0.2801	9.30E-11
-0.28	9.30E-11
-0.2799	9.30E-11
-0.2798	9.30E-11
-0.2797	9.30E-11
-0.2796	9.29E-11
-0.2795	9.29E-11
-0.2794	9.29E-11
-0.2793	9.29E-11
-0.2792	9.29E-11
-0.2791	9.29E-11
-0.279	9.29E-11
-0.2789	9.29E-11
-0.2788	9.28E-11
-0.2787	9.28E-11
-0.2786	9.28E-11
-0.2785	9.28E-11
-0.2784	9.28E-11
-0.2783	9.28E-11
-0.2782	9.28E-11
-0.2781	9.27E-11
-0.278	9.27E-11
-0.2779	9.27E-11
-0.2778	9.27E-11
-0.2777	9.27E-11
-0.2776	9.27E-11
-0.2775	9.27E-11
-0.2774	9.26E-11
-0.2773	9.26E-11
-0.2772	9.26E-11
-0.2771	9.26E-11
-0.277	9.26E-11
-0.2769	9.26E-11
-0.2768	9.25E-11
-0.2767	9.25E-11
-0.2766	9.25E-11
-0.2765	9.25E-11
-0.2764	9.25E-11
-0.2763	9.25E-11
-0.2762	9.24E-11
-0.2761	9.24E-11
-0.276	9.24E-11
-0.2759	9.24E-11
-0.2758	9.24E-11
-0.2757	9.24E-11
-0.2756	9.24E-11
-0.2755	9.23E-11
-0.2754	9.23E-11
-0.2753	9.23E-11
-0.2752	9.23E-11
-0.2751	9.23E-11
-0.275	9.23E-11
-0.2749	9.22E-11
-0.2748	9.22E-11
-0.2747	9.22E-11
-0.2746	9.22E-11
-0.2745	9.22E-11
-0.2744	9.22E-11
-0.2743	9.21E-11
-0.2742	9.21E-11
-0.2741	9.21E-11
-0.274	9.21E-11
-0.2739	9.21E-11
-0.2738	9.21E-11
-0.2737	9.20E-11
-0.2736	9.20E-11
-0.2735	9.20E-11
-0.2734	9.20E-11
-0.2733	9.20E-11
-0.2732	9.19E-11
-0.2731	9.19E-11
-0.273	9.19E-11
-0.2729	9.19E-11
-0.2728	9.19E-11
-0.2727	9.19E-11
-0.2726	9.18E-11
-0.2725	9.18E-11
-0.2724	9.18E-11
-0.2723	9.18E-11
-0.2722	9.18E-11
-0.2721	9.18E-11
-0.272	9.17E-11
-0.2719	9.17E-11
-0.2718	9.17E-11
-0.2717	9.17E-11
-0.2716	9.17E-11
-0.2715	9.16E-11
-0.2714	9.16E-11
-0.2713	9.16E-11
-0.2712	9.16E-11
-0.2711	9.16E-11
-0.271	9.15E-11
-0.2709	9.15E-11
-0.2708	9.15E-11
-0.2707	9.15E-11
-0.2706	9.15E-11
-0.2705	9.14E-11
-0.2704	9.14E-11
-0.2703	9.14E-11
-0.2702	9.14E-11
-0.2701	9.14E-11
-0.27	9.14E-11
-0.2699	9.13E-11
-0.2698	9.13E-11
-0.2697	9.13E-11
-0.2696	9.13E-11
-0.2695	9.12E-11
-0.2694	9.12E-11
-0.2693	9.12E-11
-0.2692	9.12E-11
-0.2691	9.12E-11
-0.269	9.11E-11
-0.2689	9.11E-11
-0.2688	9.11E-11
-0.2687	9.11E-11
-0.2686	9.11E-11
-0.2685	9.10E-11
-0.2684	9.10E-11
-0.2683	9.10E-11
-0.2682	9.10E-11
-0.2681	9.10E-11
-0.268	9.09E-11
-0.2679	9.09E-11
-0.2678	9.09E-11
-0.2677	9.09E-11
-0.2676	9.08E-11
-0.2675	9.08E-11
-0.2674	9.08E-11
-0.2673	9.08E-11
-0.2672	9.08E-11
-0.2671	9.07E-11
-0.267	9.07E-11
-0.2669	9.07E-11
-0.2668	9.07E-11
-0.2667	9.06E-11
-0.2666	9.06E-11
-0.2665	9.06E-11
-0.2664	9.06E-11
-0.2663	9.06E-11
-0.2662	9.05E-11
-0.2661	9.05E-11
-0.266	9.05E-11
-0.2659	9.05E-11
-0.2658	9.04E-11
-0.2657	9.04E-11
-0.2656	9.04E-11
-0.2655	9.04E-11
-0.2654	9.03E-11
-0.2653	9.03E-11
-0.2652	9.03E-11
-0.2651	9.03E-11
-0.265	9.02E-11
-0.2649	9.02E-11
-0.2648	9.02E-11
-0.2647	9.02E-11
-0.2646	9.01E-11
-0.2645	9.01E-11
-0.2644	9.01E-11
-0.2643	9.01E-11
-0.2642	9.00E-11
-0.2641	9.00E-11
-0.264	9.00E-11
-0.2639	9.00E-11
-0.2638	8.99E-11
-0.2637	8.99E-11
-0.2636	8.99E-11
-0.2635	8.99E-11
-0.2634	8.98E-11
-0.2633	8.98E-11
